no,question,a,b,c,d,answer
274,"It is a short-range wireless communication technology intended to replace the cablesconnecting portable of fixed devices while maintaining high levels of security. It allows mobilephones, computers and other devices to connect and communicate using a short-range wirelessconnection.Which of the following terms best matches the definition?",Bluetooth,Radio-Frequency Identification,WLAN,InfraRed,A
275,What is a NULL scan?,A scan in which all flags are turned off,A scan in which certain flags are off,A scan in which all flags are on,A scan in which the packet size is set to zeroE. A scan with an illegal packet size,A
276,An attacker runs netcat tool to transfer a secret file between two hosts. He is worried about information being sniffed on the network.How would the attacker use netcat to encrypt the information before transmitting onto the wire?,Machine A: netcat -l -p -s password 1234 < testfileMachine B: netcat <machine A IP> 1234,Machine A: netcat -l -e magickey -p 1234 < testfileMachine B: netcat <machine A IP> 1234,Machine A: netcat -l -p 1234 < testfile -pw passwordMachine B: netcat <machine A IP> 1234 -pwpassword,Use cryptcat instead of netcat,D
277,"This phase will increase the odds of success in later phases of the penetration test. It is alsothe very first step in Information Gathering, and it will tell you what the ""landscape"" looks like.What is the most important phase of ethical hacking in which you need to spend a considerableamount of time?",footprinting,network mapping,gaining access,escalating privileges,A
278,In IPv6 what is the major difference concerning application layer vulnerabilities compared toIPv4?,Implementing IPv4 security in a dual-stack network offers protection from IPv6 attacks too.,Vulnerabilities in the application layer are independent of the network layer. Attacks andmitigation techniques are almost identical.,"Due to the extensive security measures built in IPv6, application layer vulnerabilities need not beaddresses.",Vulnerabilities in the application layer are greatly different from IPv4.,B
279,Pentest results indicate that voice over IP traffic is traversing a network. Which of thefollowing tools will decode a packet capture and extract the voice conversations?,Cain,John the Ripper,Nikto,Hping,A
280,Which initial procedure should an ethical hacker perform after being brought into anorganization?,Begin security testing.,Turn over deliverables.,Sign a formal contract with non-disclosure.,Assess what the organization is trying to protect.,C
281,What is the main security service a cryptographic hash provides?,Integrity and ease of computation,Message authentication and collision resistance,Integrity and collision resistance,Integrity and computational in-feasibility,D
282,A large company intends to use Blackberry for corporate mobile phones and a securityanalyst is assigned to evaluate the possible threats. The analyst will use the Blackjacking attackmethod to demonstrate how an attacker could circumvent perimeter defenses and gain access to thecorporate network. What tool should the analyst use to perform a Blackjacking attack?,Paros Proxy,BBProxy,BBCrack,Blooover,B
283,Which of the following is a vulnerability in GNU's bash shell (discovered in September of2014) that gives attackers access to run remote commands on a vulnerable system?,Shellshock,Rootshell,Rootshock,Shellbash,A
284,"You are working as a Security Analyst in a company XYZ that owns the whole subnet rangeof 23.0.0.0/8 and192.168.0.0/8.While monitoring the data, you find a high number of outbound connections. You see that IP's ownedby XYZ (Internal) and private IP's are communicating to a Single Public IP. Therefore, the Internal IP'sare sending data to the Public IP.After further analysis, you find out that this Public IP is a blacklisted IP, and the internalcommunicating devices are compromised.What kind of attack does the above scenario depict?",Botnet Attack,Spear Phishing Attack,Advanced Persistent Threats,Rootkit Attack,A
285,What is the least important information when you analyze a public IP address in a securityalert?,ARP,Whois,DNS,Geolocation,A
286,How can telnet be used to fingerprint a web server?,telnet webserverAddress 80HEAD / HTTP/1.0,telnet webserverAddress 80PUT / HTTP/1.0,telnet webserverAddress 80HEAD / HTTP/2.0,telnet webserverAddress 80PUT / HTTP/2.0,A
287,"If a tester is attempting to ping a target that exists but receives no response or a responsethat states the destination is unreachable, ICMP may be disabled and the network may be using TCP.Which other option could the tester use to get a response from a host using TCP?",Hping,Traceroute,TCP ping,Broadcast ping,A
288,Which of the following tools would be the best choice for achieving compliance with PCIRequirement 11?,Truecrypt,Sub7,Nessus,Clamwin,C
289,"An attacker is trying to redirect the traffic of a small office. That office is using their ownmail server, DNS server and NTP server because of the importance of their job. The attacker gainsaccess to the DNS server and redirects the direction www.google.com to his own IP address. Nowwhen the employees of the office want to go to Google they are being redirected to the attackermachine. What is the name of this kind of attack?",ARP Poisoning,Smurf Attack,DNS spoofing,MAC Flooding,C
